Name,University,Difficulty Level,Link,About,Course Description,Category
How to Learn Online,edX,Beginner,https://www.edx.org/course/how-to-learn-online,Learn essential strategies for successful online learning,"Designed for those who are new to elearning, this course will prepare you with strategies to be a successful online learner.The edX learning design team has curated some of the most powerful, science-backed techniques which you can start using right away and on any learning platform.The Verified Certificate for this course is free. Use the following coupon code before September 1, 2020 to upgrade at no cost to you: Y5ZADM5NU2AN5JU7This course will help you answer the following questions: Education & Teacher Training",Design
Programming for Everybody (Getting Started with Python),The University of Michigan,Beginner,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.","This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook ""Python for Everybody"". Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3. Computer Science",Computer Science
CS50's Introduction to Computer Science,Harvard University,Beginner,https://www.edx.org/course/cs50s-introduction-to-computer-science,An introduction to the intellectual enterprises of computer science and the art of programming.,"This is CS50x , Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. The on-campus version of CS50x , CS50, is Harvard's largest course. Students who earn a satisfactory score on 9 problem sets (i.e., programming assignments) and a final project are eligible for a certificate. This is a self-paced course–you may take CS50x on your own schedule.HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form. Computer Science",Computer Science
The Analytics Edge,Massachusetts Institute of Technology,Intermediate,https://www.edx.org/course/the-analytics-edge,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.","In the last decade, the amount of data available to organizations has reached unprecedented levels. Data is transforming business, social interactions, and the future of our society. In this course, you will learn how to use data and analytics to give an edge to your career and your life. We will examine real world examples of how analytics have been used to significantly improve a business or industry. These examples include Moneyball, eHarmony, the Framingham Heart Study, Twitter, IBM Watson, and Netflix. Through these examples and many more, we will teach you the following analytics methods: linear regression, logistic regression, trees, text analytics, clustering, visualization, and optimization. We will be using the statistical software R to build models and work with data. The contents of this course are essentially the same as those of the corresponding MIT class (The Analytics Edge). It is a challenging class, but it will enable you to apply analytics to real-world applications.The class will consist of lecture videos, which are broken into small pieces, usually between 4 and 8 minutes each. After each lecture piece, we will ask you a ""quick question"" to assess your understanding of the material. There will also be a recitation, in which one of the teaching assistants will go over the methods introduced with a new example and data set. Each week will have a homework assignment that involves working in R or LibreOffice with various data sets. (R is a free statistical and computing software environment we'll use in the course. See the Software FAQ below for more info). At the end of the class there will be a final exam, which will be similar to the homework assignments. Data Analysis & Statistics",Data Analytics
Marketing Analytics: Marketing Measurement Strategy,"University of California, Berkeley",Beginner,https://www.edx.org/course/marketing-analytics-marketing-measurement-strategy,This course is part of a MicroMasters® Program,"Begin your journey in a new career in marketing analytics. Learn about powerful strategies and methodology, starting with identifying market trends and metrics used to measure marketing success.In this marketing course, you will learn how to execute market sizing, identify market trends, and predict future conditions.This course is taught by Stephan Sorger who has held leadership roles in marketing and product development at companies such as Oracle, 3Com and NASA. He has also taught for over a decade at UC Berkeley Extension and is the author of two widely adopted marketing textbooks. This course will equip you with the knowledge and skills necessary to immediately see practical benefits in the workplace.Analytics-based marketing is increasingly important in determining a company’s spending and ROI. Many entry-level positions in marketing now require some basic level of knowledge in this rapidly growing field. Computer Science",Marketing
Introduction to Project Management,University of Adelaide,Beginner,https://www.edx.org/course/introduction-to-project-management,Learn the principles of project management and apply them in your own work and life.,"Project management is an essential skill-set for many careers and in many contexts in our lives. Introduction to Project Management is an ideal starting point if you need to manage projects at work or at home, while not necessarily being a formally trained project manager. It is also suitable if you are considering undertaking a project in the near future and are seeking to learn and apply essential project management knowledge and skills.To deliver a project successfully, it’s important to start by clearly identifying what the project is, and what its outcomes will be. In the course, we will show you practical ways to explore and understand your goals from the outset of your project, and to consider all the factors that may affect its execution. Step by step you will learn how to plan, scope, schedule, cost and manage your project from beginning to end. Since every project relies on the people who are delivering it, the course also enables you to explore how you can effectively communicate, manage people and employ leadership skills to successfully deliver your own project.In Introduction to Project Management, you will learn practical ways to use project management skills, whether your project is large or small. Join us to explore how you can benefit from using project management techniques in your own projects. Business & Management",Business
Leading High-Performing Teams,The University of Queensland,Intermediate,https://www.edx.org/course/leading-high-performing-teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.","This course will blend business theory and real-world insights to teach you the skills you need to better lead people and teams within your organization. Key topics will include motivation, communication, conflict management, team dynamics, and development of a healthy organizational culture.These “people skills” rank among the most challenging competencies for both novice and experienced leaders. This course will challenge you to understand your followers on a deeper level, as well as help you to reflect and improve on your own leadership practice.The course will draw on knowledge from psychology, human resource management, and organizational behavior, as well as the expertise of the management faculty and the The University of Queensland. Through a series of engaging videos, interviews, written reflections, peer feedback, self-insight activities, and simulations, we unpack the ingredients that are critical for developing more effective people and higher performing teams. Communication",Business
The Foundations of Happiness at Work,"University of California, Berkeley",Beginner,https://www.edx.org/course/the-foundations-of-happiness-at-work,Learn why happiness at work matters and how to increase it within yourself and across your organization.,"This course explains what happiness at work looks like, why it matters, and how to cultivate it.It begins by defining happiness and making the case that happiness at work improves the performance of individual employees and organizations as a whole, increasing innovation, productivity, engagement, retention, and the quality of their work. It then explores the key factors that empirical research has linked to workplace happiness, zeroing in on practices such as gratitude, developing a strong sense of purpose, and forming authentic, cooperative connections with others. The course will also highlight common barriers to workplace happiness, both at the individual and cultural level.Finally, the course presents a practical framework for workplace happiness and explores accessible techniques for: a) evaluating happiness in an organization, b) creating an effective strategy to increase workplace happiness, and c) implementing that strategy in your own work life, within your team, or across the culture of your organization, with special tips for workplace leaders.The course instructors are expert faculty from UC Berkeley’s Greater Good Science Center, Dacher Keltner, Ph.D., and Emiliana Simon-Thomas, Ph.D., whose earlier edX course, The Science of Happiness, has been a global phenomenon, introducing a half million students worldwide to the research-based keys to a happy, meaningful life. In this course, they tailor their scientific insights to the needs of the modern workplace. Business & Management",Business
Six Sigma: Define and Measure,Technische Universität München,Beginner,https://www.edx.org/course/six-sigma-define-and-measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.","Understand the background and meaning of Six Sigma and the five steps of the DMAIC process improvement flow: Define, Measure, Analyze, Improve and Control. Discuss what ""Quality"" means and how to identify the Voice of the Customer.You will learn how to set an improvement project goal, calculate process yield, and identify Critical-to-Quality parameters.You will learn how to map a process and to use the necessary statistical techniques to establish the baseline performance of a process and to calculate the process capability.To complement the lectures, we provide interactive exercises, which allow learners to see the statistics ""in action."" Learners then master the statistical concepts by completing practice problems. These are then reinforced using interactive case studies, which illustrate the application of the statistics in quality improvement situations.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam. Business & Management",Business
Fat Chance: Probability from the Ground Up,Harvard University,Beginner,https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. In Modules 1 and 2, you will be introduced to basic counting skills that you will build upon throughout the course. In Module 3, you will apply those skills to simple problems in probability. In Modules 4 through 6, you will explore how those ideas and techniques can be adapted to answer a greater range of probability problems. Lastly, in Module 7, you will be introduced to statistics through the notion of expected value, variance, and the normal distribution. You will see how to use these ideas to approximate probabilities in situations where it is difficult to calculate their exact values. Math",Math
